 TIME                    	Wgross_MW                	Wnet_MW                  	Qboiler_MW               	Q_LHV_MW                 	eta_gross                	eta_net                  	eta_CHP                  	
  +2.2875000000000000E+01	  +2.8713792222074822E+01	  +2.8829550614743159E+01	  +7.7847807677491161E+01	  +9.3792539370471275E+01	  +3.0614153764041058E-01	  +3.0737573380830729E-01	  +3.1803756263511940E-01	
  +2.3000000000000000E+01	  +2.9338611513307104E+01	  +2.6059119708816930E+01	  +7.7294771605008094E+01	  +9.3126230849407335E+01	  +3.1504132880401892E-01	  +2.7982577487707666E-01	  +2.9056388798311528E-01	
  +2.3125000000000000E+01	  +2.8713792029403365E+01	  +2.8825614082908050E+01	  +7.7847804836964471E+01	  +9.3792535948149961E+01	  +3.0614154675673572E-01	  +3.0733377439376752E-01	  +3.1799560360961060E-01	
  +2.3250000000000000E+01	  +2.9338626586480821E+01	  +2.6059133156388398E+01	  +7.7294754434169064E+01	  +9.3126210161649468E+01	  +3.1504156064715316E-01	  +2.7982598144125781E-01	  +2.9056409693274177E-01	
  +2.3375000000000000E+01	  +2.8713803473430954E+01	  +2.8814765914860914E+01	  +7.7847797159544172E+01	  +9.3792526698245979E+01	  +3.0614169896297222E-01	  +3.0721814337687292E-01	  +3.1787997364419529E-01	
  +2.3500000000000000E+01	  +2.9338652579971235E+01	  +2.6059156400294334E+01	  +7.7294732576474061E+01	  +9.3126183827077170E+01	  +3.1504192885697085E-01	  +2.7982631016731763E-01	  +2.9056442869536625E-01	
  +2.3625000000000000E+01	  +2.8713805327197829E+01	  +2.8803910545697967E+01	  +7.7847789393982197E+01	  +9.3792517342147221E+01	  +3.0614174926611981E-01	  +3.0710243590779979E-01	  +3.1776426723867329E-01	
  +2.3750000000000000E+01	  +2.9338672440568519E+01	  +2.6059174124592410E+01	  +7.7294710758878097E+01	  +9.3126157540816976E+01	  +3.1504223104780682E-01	  +2.7982657947817435E-01	  +2.9056470103721865E-01	
  +2.3875000000000000E+01	  +2.8713798047314484E+01	  +2.8793048853069088E+01	  +7.7847781619098853E+01	  +9.3792507974817894E+01	  +3.0614170222448661E-01	  +3.0698666103266647E-01	  +3.1764849342836793E-01	
  +2.4000000000000000E+01	  +2.9338689470442596E+01	  +2.6059189301513630E+01	  +7.7294688971394450E+01	  +9.3126131290836682E+01	  +3.1504250271942125E-01	  +2.7982682132611875E-01	  +2.9056494591197701E-01	
  +2.4125000000000000E+01	  +2.8713798648103747E+01	  +2.8780568725249395E+01	  +7.7847772867495308E+01	  +9.3792497430717233E+01	  +3.0614174304628250E-01	  +3.0685363449788788E-01	  +3.1751546809218661E-01	
  +2.4250000000000000E+01	  +2.9338711068583098E+01	  +2.6059208522097169E+01	  +7.7294657409955960E+01	  +9.3126093265007171E+01	  +3.1504286328316683E-01	  +2.7982714197986347E-01	  +2.9056527095038004E-01	
  +2.4375000000000000E+01	  +2.8713801932098765E+01	  +2.8763210876746058E+01	  +7.7847760500465839E+01	  +9.3792482530681724E+01	  +3.0614182669390166E-01	  +3.0666861672348777E-01	  +3.1733045201154381E-01	
  +2.4500000000000000E+01	  +2.9338724844665020E+01	  +2.6059220680440497E+01	  +7.7294622541954965E+01	  +9.3126051255367415E+01	  +3.1504315333003075E-01	  +2.7982739876924123E-01	  +2.9056553258378287E-01	
